Sun, 01 Nov 2020 04:42:59 GMT | POST | {"title":"Autotest task","order":0,"description":"Lorem ipsum","userId":null,"boardId":null,"columnId":null} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236"} | 200 | 194.740 ms
Sun, 01 Nov 2020 04:42:59 GMT | GET | {} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236"} | 200 | 68.923 ms
Sun, 01 Nov 2020 04:42:59 GMT | DELETE | {} | /boards/6bd756e6-1b5d-49c1-ac03-858c621035f9 | {"id":"6bd756e6-1b5d-49c1-ac03-858c621035f9"} | 204 | 136.573 ms
Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/14d508a5-4b84-4ea5-892a-b9cf46e41236/tasks | {"boardId":"14d508a5-4b84-4ea5-892a-b9cf46e41236"} | 200 | 188.416 ms
Sun, 01 Nov 2020 04:43:00 GMT | POST | {"name":"TEST_USER","login":"test_user","password":"*******"} | /users | {} | 200 | 309.777 ms
Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/6bd756e6-1b5d-49c1-ac03-858c621035f9/tasks/e2c86391-ebbe-4ac6-8ae0-5766b0242d83 | {} | 404 | 163.073 ms
Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/6bd756e6-1b5d-49c1-ac03-858c621035f9/tasks/141adc40-10c7-4377-82b1-437fb541328a | {} | 404 | 161.464 ms
Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/6bd756e6-1b5d-49c1-ac03-858c621035f9/tasks/a691dcca-aa0a-4724-ac6b-1235046fb0b1 | {} | 404 | 154.457 ms
Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/6bd756e6-1b5d-49c1-ac03-858c621035f9/tasks/5bd80024-cdba-4489-897d-03f30709f6d5 | {} | 404 | 123.300 ms
Sun, 01 Nov 2020 04:43:00 GMT | GET | {} | /boards/6bd756e6-1b5d-49c1-ac03-858c621035f9/tasks/795993c4-dacb-4fc8-8ebb-67205dc3df67 | {} | 404 | 108.683 ms
