Sat, 17 Oct 2020 19:22:04 GMT | GET | {} | /boards/65a5102a-7a7b-4e41-bd07-3960ca119a4f/tasks/d1c44c43-9796-463a-b7f0-49eda3056dc3 | {"boardId":"65a5102a-7a7b-4e41-bd07-3960ca119a4f","taskId":"d1c44c43-9796-463a-b7f0-49eda3056dc3"} | 200 | 1.569 ms
Sat, 17 Oct 2020 19:22:04 GMT | DELETE | {} | /boards/20e72e0d-97b4-479e-b8fd-301998081166 | {"id":"20e72e0d-97b4-479e-b8fd-301998081166"} | 204 | 1.179 ms
Sat, 17 Oct 2020 19:22:04 GMT | DELETE | {} | /boards/65a5102a-7a7b-4e41-bd07-3960ca119a4f/tasks/74566a47-8349-4792-a7fe-acaee948d3a7 | {"boardId":"65a5102a-7a7b-4e41-bd07-3960ca119a4f","taskId":"74566a47-8349-4792-a7fe-acaee948d3a7"} | 204 | 1.307 ms
Sat, 17 Oct 2020 19:22:04 GMT | DELETE | {} | /boards/65a5102a-7a7b-4e41-bd07-3960ca119a4f/tasks/d1c44c43-9796-463a-b7f0-49eda3056dc3 | {"boardId":"65a5102a-7a7b-4e41-bd07-3960ca119a4f","taskId":"d1c44c43-9796-463a-b7f0-49eda3056dc3"} | 204 | 1.116 ms
Sat, 17 Oct 2020 19:22:04 GMT | GET | {} | /boards/20e72e0d-97b4-479e-b8fd-301998081166/tasks/36d56e4a-8446-4aa5-993d-b0d9e9564f0e | {} | 500 | 1.831 ms
Sat, 17 Oct 2020 19:22:04 GMT | GET | {} | /boards/20e72e0d-97b4-479e-b8fd-301998081166/tasks/e7c33660-8e7b-48ee-ab0a-17c2a2d6a064 | {} | 500 | 1.620 ms
Sat, 17 Oct 2020 19:22:04 GMT | GET | {} | /boards/20e72e0d-97b4-479e-b8fd-301998081166/tasks/73b238f0-7264-4317-8e12-763630c78996 | {} | 500 | 2.111 ms
Sat, 17 Oct 2020 19:22:04 GMT | GET | {} | /boards/20e72e0d-97b4-479e-b8fd-301998081166/tasks/a0c5d7f9-836f-4112-94bd-dcefd97bf73a | {} | 500 | 2.145 ms
Sat, 17 Oct 2020 19:22:04 GMT | GET | {} | /boards/20e72e0d-97b4-479e-b8fd-301998081166/tasks/bd2c3d39-e6e1-4fc8-8a32-59b1cf090a0e | {} | 500 | 1.625 ms
Sat, 17 Oct 2020 19:22:04 GMT | DELETE | {} | /boards/65a5102a-7a7b-4e41-bd07-3960ca119a4f | {"id":"65a5102a-7a7b-4e41-bd07-3960ca119a4f"} | 204 | 0.683 ms
